name,price,comnum,link
 Python硬件编程实战*9787111487746 李茂,32.8,0,http://product.dangdang.com/1441549818.html
 Python编程与人工智能启蒙,28.2,0,http://product.dangdang.com/1442855322.html
 Python语言实用教程 机械工业出版社,32.3,0,http://product.dangdang.com/1187656785.html
 【中商海外直订】Python for Data Science for Dummies,300.0,0,http://product.dangdang.com/1437461888.html
 Python程序从零基础到项目实战（货号：MLS） 刘瑜 9787517067146 水利水电出版社威尔文化图书专营店,43.9,0,http://product.dangdang.com/1436087288.html
 Python数据分析实战(清华科技大讲堂),27.69,0,http://product.dangdang.com/1355325424.html
 Python语言程序设计 袁 方 肖胜刚 齐鸿志 9787302520290,27.3,0,http://product.dangdang.com/1434525822.html
 Python渗透测试编程技术：方法与实践 李华峰 9787302514503,48.3,0,http://product.dangdang.com/1434498622.html
 【预订】Python Game Programming by Example,515.0,0,http://product.dangdang.com/1433129646.html
 Python量化交易实战,60.0,0,http://product.dangdang.com/1432978588.html
" Python程序设计与实践——用计算思维解决问题（货号：A7) 焦福菊,孙青,李莹 9787302473893 清华大",20.0,0,http://product.dangdang.com/1371532236.html
 【预订】Python Programming Professional Made Easy & C Programmi,144.0,0,http://product.dangdang.com/1426749446.html
 【预订】Python Programming in a Day & C Programming Professiona,530.0,0,http://product.dangdang.com/1426749246.html
 套装2本】Python神经网络编程 deep learning Python深度学习中文版 AI人工智能书籍机器学习实,228.0,0,http://product.dangdang.com/1425813930.html
 Python Cookbook 第三版 中文版 第3版 David Beazley著 零基础学习python核心编程基,100.0,0,http://product.dangdang.com/1425833930.html
 Python与有限元--基于Python编程的有限元分析及应用扩展 Python编程有限元分析开源框架搭建开发设计教程,56.0,0,http://product.dangdang.com/1425813430.html
 Python 3网络爬虫开发实战 项目开发教程书籍 分布式视频爬虫录音爬虫编写 数据爬取技术 pyspider Scr,98.0,0,http://product.dangdang.com/1425777830.html
" Python统计分析 讲述统计数据分析与应用 随书提供Python代码和数据 方便读者动手实践 Springer""统计",78.0,0,http://product.dangdang.com/1425748030.html
 Python绝技 运用Python成为数据工程师 数据分析 数据挖掘 深度学习及云计算 职业数据分析师教程书籍Pyth,79.0,0,http://product.dangdang.com/1425751830.html
 【赠400元素材】Python基础教程(第3版) python3.0核心编程从入门到实践网络爬虫 计算机视频从入门到精,98.0,0,http://product.dangdang.com/1425759630.html
 Python从入门到精通+零基础入门学习Python 全2册 零基础学习网络爬虫 python基础教程语言 程序设计算,110.0,0,http://product.dangdang.com/1425715930.html
 python书籍基 于Python的大数据分析基础及实战 python基础教程编程入门 计算机编程基础入门书 pyth,69.0,0,http://product.dangdang.com/1425691030.html
 Python编程入门 全3册 Python编程从入门到实践 零基础学习Python Python基础教程程序设计教材计,230.0,0,http://product.dangdang.com/1425692530.html
 Python绝技 运用Python成为*黑客python基础教程 python核心编程 计算机网络程序爬虫从入门到精通,79.0,0,http://product.dangdang.com/1425671230.html
 Python游戏编程入门 Python3爬虫数据分析编程教程 程序设计书籍 Python编程初学者指南Python开发,48.0,0,http://product.dangdang.com/1425196830.html
 Python从入门到精通+C语言从入门到精通+java从入门到精通 全3册 计算机零基础自学书籍爬虫pathon编程从,200.0,0,http://product.dangdang.com/1424956830.html
 Python游戏编程入门+C++游戏编程入门+游戏编程入门 全3册 Python3爬虫数据分析编程教程 游戏编程入门书,165.0,0,http://product.dangdang.com/1424962830.html
 Python神经网络编程 深度学习 人工智能系统 机器学习入门教程书籍 Python3.5 神经网络与深度学习 dee,68.0,0,http://product.dangdang.com/1424961930.html
" 【XSM】Python数据分析(影印版) (印尼)伊德里斯(Idris,I.) 东南大学出版社978756416064",64.6,0,http://product.dangdang.com/1419195784.html
 Python编程 人民邮电出版社,137.2,0,http://product.dangdang.com/1418479022.html
 Python核心编程 第3版(第3版) 人民邮电出版社,144.5,0,http://product.dangdang.com/1418479822.html
 Python程序员面试算法宝典+剑指Offer 名企面试官精讲典型编程题python程序员面试宝典 offer企业面试,130.0,0,http://product.dangdang.com/1417904924.html
" Python编程与人工智能启蒙（货号：A4) 9787567226289 苏州大学 编者:李直旭,刘安威尔文化图书专营",21.4,0,http://product.dangdang.com/1417526188.html
 【2本套】Python编程-从入门到实践＋Python网络爬虫 核心编程语言书籍 计算机程序设计从零到精通 游戏开发应,138.0,0,http://product.dangdang.com/1416975630.html
 [95新正版二手旧书] Python网络爬虫实战(第2版),45.8,0,http://product.dangdang.com/1450756011.html
